Country Name,Country Code,Region,Income Group,CO2 emissions Tg,Population millions,GDP million US dollar
Aruba,ABW,LatAm&Car,H,0.87275,0.103795,
Bermuda,BMU,N.Am,H,0.57572,0.065139,
Curacao,CUW,LatAm&Car,H,5.88187,0.155909,
Cayman Islands,CYM,LatAm&Car,H,0.54272,0.059172,
Gibraltar,GIB,Eur&C.Asia,H,0.52805,0.034038,
St. Martin (French part),MAF,LatAm&Car,H,,0.03153,
Monaco,MCO,Eur&C.Asia,H,,0.038132,
New Caledonia,NCL,EasAsi&Pac,H,4.29039,0.26805,
"Korea, Dem. People’s Rep.",PRK,EasAsi&Pac,L,40.52768,25.116363,
French Polynesia,PYF,EasAsi&Pac,H,0.80307,0.275484,
Sint Maarten (Dutch part),SXM,LatAm&Car,H,0.7334,0.037685,
Syrian Arab Republic,SYR,MidEas&N.Afr,LM,30.70379,19.20309,
Turks and Caicos Islands,TCA,LatAm&Car,H,0.20535,0.033739,
British Virgin Islands,VGB,LatAm&Car,H,0.17968,0.029588,
Burundi,BDI,SubSahar,L,0.44004,9.89179,3093.65
Malawi,MWI,SubSahar,L,1.27612,17.068838,6054.75
Central African Republic,CAF,SubSahar,L,0.30069,4.515392,1702.9
Niger,NER,SubSahar,L,2.12686,19.148219,8229.73
"Gambia, The",GMB,SubSahar,L,0.51338,1.917852,833.25
Madagascar,MDG,SubSahar,L,3.07661,23.589801,10673.52
Liberia,LBR,SubSahar,L,0.93509,4.390737,2013
Somalia,SOM,SubSahar,L,0.60872,13.513125,6568.44
"Congo, Dem. Rep.",COD,SubSahar,L,4.67176,73.72286,35917.65
Ethiopia,ETH,SubSahar,L,11.59872,97.366774,55612.23
Guinea-Bissau,GNB,SubSahar,L,0.27136,1.725744,1053.51
Togo,TGO,SubSahar,L,2.62191,7.228915,4482.88
Mozambique,MOZ,SubSahar,L,8.42677,27.212382,16961.12
Afghanistan,AFG,S.Asia,L,9.80923,32.75802,20616.1
Uganda,UGA,SubSahar,L,5.22914,38.833338,27291.88
Burkina Faso,BFA,SubSahar,L,2.84926,17.585977,12377.39
Nepal,NPL,S.Asia,L,8.03073,28.323241,20002.97
Rwanda,RWA,SubSahar,L,0.83974,11.345357,8016.59
Sierra Leone,SLE,SubSahar,L,1.30912,7.079162,5015.16
Guinea,GIN,SubSahar,L,2.44956,11.805509,8765.04
Haiti,HTI,LatAm&Car,L,2.86026,10.572466,8776.35
Mali,MLI,SubSahar,L,1.4118,16.962846,14388.36
